dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
ACSF1,lr_classifier,42,100,100,1460,10,0.6542159590026131,9.912319999999966,0.62,0.6138321300277821,0.6138321300277823,ok,
ACSF1,rf_classifier,42,100,100,1460,10,0.33146220799244475,6.24230399999999,0.79,0.7923733246158875,0.7923733246158875,ok,
ACSF1,dtw_1nn,42,100,100,1460,10,35.26342258301156,0.0655360000000087,0.64,0.6293171878001599,0.62931718780016,ok,
Adiac,lr_classifier,42,390,391,176,37,0.16442108400224242,0.21299200000004248,0.7365728900255755,0.7071510920347434,0.7189922306206125,ok,
Adiac,rf_classifier,42,390,391,176,37,0.39420399999653455,42.33625599999999,0.6470588235294118,0.625730245076943,0.631257892939963,ok,
Adiac,dtw_1nn,42,390,391,176,37,5.214861415995983,0.0,0.6035805626598465,0.5873144268810555,0.5903829861841625,ok,
AllGestureWiimoteX,lr_classifier,42,300,700,500,10,0.13177799999539275,2.1463040000000433,0.30428571428571427,0.30616171172322254,0.30616171172322254,ok,
AllGestureWiimoteX,rf_classifier,42,300,700,500,10,0.3665135829942301,11.108351999999968,0.5385714285714286,0.538444243181726,0.538444243181726,ok,
ACSF1,lr_classifier,42,100,100,1460,10,0.6378803749976214,7.995391999999981,0.62,0.6138321300277821,0.6138321300277823,ok,
ACSF1,rf_classifier,42,100,100,1460,10,0.32491420800215565,6.160384000000022,0.78,0.7806748755947841,0.7806748755947841,ok,
ACSF1,dtw_1nn,42,100,100,1460,10,35.280366292005056,0.0655360000000087,0.64,0.6293171878001599,0.62931718780016,ok,
Adiac,lr_classifier,42,390,391,176,37,0.16235529200639576,0.11468800000000101,0.7365728900255755,0.7071510920347434,0.7189922306206125,ok,
Adiac,rf_classifier,42,390,391,176,37,0.4145550420071231,43.024384,0.6368286445012787,0.610231605032084,0.6189952022778362,ok,
Adiac,dtw_1nn,42,390,391,176,37,5.169159124998259,-102.64576,0.6035805626598465,0.5873144268810555,0.5903829861841625,ok,
AllGestureWiimoteX,lr_classifier,42,300,700,500,10,0.1330420000012964,2.277376000000004,0.30428571428571427,0.30616171172322254,0.30616171172322254,ok,
AllGestureWiimoteX,rf_classifier,42,300,700,500,10,0.3865418750065146,17.51449600000001,0.5514285714285714,0.5507532755962592,0.5507532755962592,ok,
AllGestureWiimoteX,dtw_1nn,42,300,700,500,10,200.33441300000413,-225.72236800000002,0.71,0.7120650838303795,0.7120650838303796,ok,
AllGestureWiimoteY,lr_classifier,42,300,700,500,10,0.12117808299080934,11.354111999999986,0.36714285714285716,0.35655419137290584,0.35655419137290584,ok,
AllGestureWiimoteY,rf_classifier,42,300,700,500,10,0.3462168749974808,25.493504,0.5614285714285714,0.5551437270118854,0.5551437270118854,ok,
AllGestureWiimoteY,dtw_1nn,42,300,700,500,10,197.43983183400996,-12.615679999999998,0.6814285714285714,0.6811478932249109,0.6811478932249109,ok,
AllGestureWiimoteZ,lr_classifier,42,300,700,500,10,0.10405087500112131,2.768895999999984,0.3028571428571429,0.30103179249200146,0.3010317924920014,ok,
AllGestureWiimoteZ,rf_classifier,42,300,700,500,10,0.35196874999383,5.636096000000009,0.4614285714285714,0.4655415066143078,0.46554150661430793,ok,
AllGestureWiimoteZ,dtw_1nn,42,300,700,500,10,198.98169433299336,-12.697599999999994,0.6957142857142857,0.6998592084253883,0.6998592084253882,ok,
ArrowHead,lr_classifier,42,36,175,251,3,0.008205833000829443,0.0655360000000087,0.7314285714285714,0.7314328783746618,0.7270742777242409,ok,
ArrowHead,rf_classifier,42,36,175,251,3,0.3060482910077553,1.3598720000000242,0.72,0.7150814937074479,0.7222871290046862,ok,
ArrowHead,dtw_1nn,42,36,175,251,3,0.8092160420055734,0.0,0.7028571428571428,0.700157158632868,0.7066939709459394,ok,
Beef,lr_classifier,42,30,30,470,5,0.03183716599596664,0.360447999999991,0.9,0.9017316017316016,0.9017316017316016,ok,
Beef,rf_classifier,42,30,30,470,5,0.29983283299952745,0.704511999999994,0.7,0.6799999999999999,0.6799999999999999,ok,
Beef,dtw_1nn,42,30,30,470,5,0.5199594169971533,0.0,0.6333333333333333,0.6294017094017095,0.6294017094017094,ok,
BeetleFly,lr_classifier,42,20,20,512,2,0.00730779099103529,0.4259839999999997,0.85,0.849624060150376,0.849624060150376,ok,
BeetleFly,rf_classifier,42,20,20,512,2,0.28885937499580905,0.40960000000001173,0.8,0.7916666666666667,0.7916666666666667,ok,
BeetleFly,dtw_1nn,42,20,20,512,2,0.4004068749927683,0.03276800000000435,0.7,0.6703296703296704,0.6703296703296703,ok,
BirdChicken,lr_classifier,42,20,20,512,2,0.0077833339892094955,0.0,0.7,0.696969696969697,0.696969696969697,ok,
BirdChicken,rf_classifier,42,20,20,512,2,0.2979837909952039,0.03276800000000435,0.7,0.696969696969697,0.696969696969697,ok,
BirdChicken,dtw_1nn,42,20,20,512,2,0.3735812080121832,0.0,0.75,0.7442455242966752,0.7442455242966752,ok,
BME,lr_classifier,42,30,150,128,3,0.005408833996625617,0.11468800000000101,0.9066666666666666,0.9069185645272602,0.9069185645272603,ok,
BME,rf_classifier,42,30,150,128,3,0.29285608399368357,0.08191999999999666,0.9733333333333334,0.9735740450026164,0.9735740450026165,ok,
BME,dtw_1nn,42,30,150,128,3,0.2688383749919012,0.0,0.8933333333333333,0.8928612861286128,0.8928612861286128,ok,
Car,lr_classifier,42,60,60,577,4,0.017117458002758212,0.0,0.8333333333333334,0.8363005863005863,0.8374004957338291,ok,
Car,rf_classifier,42,60,60,577,4,0.3024001669982681,2.523135999999994,0.6833333333333333,0.6967742905242905,0.6943251964085297,ok,
Car,dtw_1nn,42,60,60,577,4,2.2530078750132816,0.0,0.7333333333333333,0.727910052910053,0.731410934744268,ok,
CBF,lr_classifier,42,30,900,128,3,0.006089041999075562,0.03276799999997593,0.8544444444444445,0.8539618954748106,0.8534521052417731,ok,
CBF,rf_classifier,42,30,900,128,3,0.3175513749883976,0.40960000000001173,0.8888888888888888,0.8890453284673857,0.8886894290897474,ok,
CBF,dtw_1nn,42,30,900,128,3,1.8723710000049323,0.0,0.9966666666666667,0.9966664991540614,0.9966702961064486,ok,
Chinatown,lr_classifier,42,20,343,24,2,0.0041765829955693334,0.016383999999987964,0.9825072886297376,0.9783021255060729,0.9826186836793711,ok,
Chinatown,rf_classifier,42,20,343,24,2,0.309608167008264,0.13107199999998898,0.9795918367346939,0.974765893493363,0.9797527015094049,ok,
Chinatown,dtw_1nn,42,20,343,24,2,0.04431441599444952,0.016384000000016385,0.9737609329446064,0.9677581074729751,0.9740448503655619,ok,
ChlorineConcentration,lr_classifier,42,467,3840,166,3,0.03444945899536833,5.210111999999981,0.7703125,0.7673193213380015,0.7716094898430046,ok,
ChlorineConcentration,rf_classifier,42,467,3840,166,3,0.38365558300574776,8.257535999999988,0.7203125,0.6421803456544651,0.6889299679246165,ok,
ChlorineConcentration,dtw_1nn,42,467,3840,166,3,148.7303703330108,-44.498943999999995,0.6484375,0.6067811896490738,0.6459410566941484,ok,
CinCECGTorso,lr_classifier,42,40,1380,1639,4,0.06839416599541437,1.9333120000000008,0.45362318840579713,0.46332645551345386,0.46349136915844286,ok,
CinCECGTorso,rf_classifier,42,40,1380,1639,4,0.3101662909903098,1.2124160000000188,0.7456521739130435,0.7278910654856667,0.7269516416938205,ok,
CinCECGTorso,dtw_1nn,42,40,1380,1639,4,545.4936570419959,-59.67052800000002,0.6507246376811594,0.646980106929103,0.6467828045498903,ok,
Coffee,lr_classifier,42,28,28,286,2,0.004639041013433598,0.11468800000000101,1.0,1.0,1.0,ok,
Coffee,rf_classifier,42,28,28,286,2,0.2920908340020105,0.37683199999997896,1.0,1.0,1.0,ok,
Coffee,dtw_1nn,42,28,28,286,2,0.08628212499024812,0.0,1.0,1.0,1.0,ok,
Computers,lr_classifier,42,250,250,720,2,0.014031416998477653,1.523711999999989,0.484,0.4837935174069628,0.4837935174069628,ok,
Computers,rf_classifier,42,250,250,720,2,0.3570979580108542,3.424256000000014,0.616,0.616,0.616,ok,
Computers,dtw_1nn,42,250,250,720,2,120.08834712499811,-45.53113599999999,0.7,0.6991866005679357,0.6991866005679358,ok,
CricketX,lr_classifier,42,390,390,300,12,0.08620062499539927,8.470527999999987,0.2794871794871795,0.2764253186258858,0.27962254881815907,ok,
CricketX,rf_classifier,42,390,390,300,12,0.3648682079947321,27.426815999999974,0.5794871794871795,0.5733756767454012,0.568652084040389,ok,
CricketX,dtw_1nn,42,390,390,300,12,53.60937766700226,-19.595264000000014,0.7538461538461538,0.7597749955834997,0.7550508595984429,ok,
CricketY,lr_classifier,42,390,390,300,12,0.07944975000282284,0.09830399999998463,0.3871794871794872,0.38999274776440024,0.391783731466848,ok,
CricketY,rf_classifier,42,390,390,300,12,0.37326708300679456,17.334272,0.6102564102564103,0.6132234762837016,0.6114443767162054,ok,
CricketY,dtw_1nn,42,390,390,300,12,52.76941258399165,-21.56134399999999,0.7435897435897436,0.751960272008498,0.7490091881353764,ok,
CricketZ,lr_classifier,42,390,390,300,12,0.0943695839960128,8.601600000000019,0.28717948717948716,0.2919306345019086,0.2969987046211346,ok,
